ZCTA20,ZCTA_AREA20,TOT_POP_2020,COUNT_NTM_STOPS,STOPS_PER_CAPITA,STOPS_PER_SQMILE
01373,23.06463814,4866,5,1.027538061,0.216782063
01375,14.07997704,3643,14,3.842986584,0.994319797
01376,4.078781605,4630,0,0,0
01378,37.34886551,738,0,0,0
01379,21.57850838,835,0,0,0
01380, , ,0, , 
01420,30.05815315,40576,4,0.098580442,0.133075371
01430,36.74093628,6320,0,0,0
01431,23.66404724,3211,0,0,0
01432,8.519643784,7760,4,0.515463889,0.469503194
01434,6.511752129,2007,0,0,0
01436,8.992527008,3538,0,0,0
01438,0.324713469,512,0,0,0
01440,24.5077076,20605,0,0,0
01450,32.76901627,11322,0,0,0
01451,21.04679489,4576,0,0,0
01452,41.0545845,4758,0,0,0
01453,26.35889816,41654,4,0.096029192,0.151751414
01460,16.51556206,10152,6,0.591016531,0.363293707
01462,26.61833763,11530,0,0,0
01463,22.57796478,12113,0,0,0
01464,15.12856674,7616,4,0.525210083,0.264400452
01468,21.95940018,4065,0,0,0
01469,21.61511612,7812,0,0,0
01473,35.43980026,7874,0,0,0
01474,11.08973694,1685,0,0,0
01475,42.77065659,10831,0,0,0
01501,15.25563335,16627,0,0,0
01503,12.97262478,3312,0,0,0
01504,11.11138916,9249,0,0,0
01505,16.05725861,4666,0,0,0
01506,15.52710056,3439,2,0.581564426,0.128807053
01507,42.17888641,13610,0,0,0
01510,5.652750969,13940,0,0,0
01515,9.863842964,2157,2,0.927213728,0.202760726
01516,36.65187454,9168,0,0,0
01518,12.23898506,3606,0,0,0
01519,10.67961311,7566,0,0,0
01520,18.82474327,16059,0,0,0
01521,12.28212929,2492,0,0,0
01522,15.68469906,3069,0,0,0
01523,27.43122482,7809,0,0,0
01524,15.89827538,6778,2,0.295072287,0.125799805
01525,0.012737896,309,0,0,0
01527,15.57952595,13822,0,0,0
01529,4.861876965,3249,0,0,0
01531,20.76213265,1155,0,0,0
01532,18.47624016,15047,0,0,0
01534,9.514024735,5885,0,0,0
01535,21.26879692,4774,0,0,0
01536,8.561545372,7030,4,0.568990052,0.467205375
01537,6.810220718,2244,0,0,0
01540,19.10315704,11679,0,0,0
01541,35.43169785,3466,0,0,0
01542,4.213021755,2544,0,0,0
01543,35.12544632,8799,0,0,0
01545,20.75268555,37683,0,0,0
01550,20.23827934,16865,0,0,0
01560,3.561954975,4467,0,0,0
01561,0.03767585,102,0,0,0
01562,32.85123062,11942,2,0.167476133,0.060880519
01564,30.61597633,8130,0,0,0
01566,24.9916153,5953,0,0,0
01568,21.216465,7968,0,0,0
01569,29.38187027,13901,0,0,0
01570,12.35724068,16934,0,0,0
01571,20.83236885,11699,0,0,0
01581,20.6059494,19035,4,0.210139215,0.194118694
01583,12.57641983,7752,0,0,0
01585,28.07513809,4601,2,0.434688121,0.071237408
01588,8.093803406,10439,0,0,0
01590,32.47316742,9458,0,0,0
01602,5.828866005,24363,0,0,0
01603,4.529853821,18612,0,0,0
01604,6.633554459,37633,3,0.079717271,0.452246219
01605,5.6540308,27587,0,0,0
01606,5.988436222,20060,0,0,0
01607,3.026376009,8410,0,0,0
01608,0.481511474,4910,0,0,0
01609,3.733875751,21780,0,0,0
01610,2.13241291,22152,0,0,0
01611,3.41723299,2036,0,0,0
01612,15.26232815,4961,0,0,0
01701,16.88873482,33742,17,0.503823102,1.006588101
01702,8.210965157,39163,39,0.995837927,4.749746323
01718,0.137848511,709,0,0,0
01719,10.28474331,5677,0,0,0
01720,19.62205315,22914,4,0.174565762,0.203852266
01721,12.33767605,17787,10,0.562208355,0.810525417
01730,12.4442215,14072,54,3.837407589,4.339363575
01731,2.337107658,2119,1,0.471920729,0.427879304
01740,19.9460144,5356,0,0,0
01741,15.27439499,5232,0,0,0
01742,24.12475014,18927,8,0.422676593,0.331609666
01745,0.389907181,600,2,3.333333254,5.129426003
01746,18.6536293,14792,3,0.202812329,0.160826609
01747,5.175191402,5956,0,0,0
01748,26.22521401,18030,4,0.221852467,0.152524978
01749,11.52721119,19863,9,0.453103751,0.780761242
01752,20.85988808,39663,17,0.42861104,0.814961255
01754,5.196926117,10900,0,0,0
01756,17.77230072,6146,0,0,0
01757,15.13437176,28936,18,0.622062504,1.189345717
01760,14.78081226,35770,28,0.782778859,1.894347906
01770,15.78798294,4324,0,0,0
01772,13.61447334,9551,7,0.732907534,0.514158726
01773,13.86276245,4847,7,1.44419229,0.504949868
01775,17.33520699,7159,0,0,0
01776,24.40790749,19248,0,0,0
01778,15.03132343,14038,0,0,0
01801,12.70487499,40297,121,3.002704859,9.523902893
01803,11.27132893,28077,72,2.564376593,6.387889385
01810,30.52142143,36098,98,2.714831829,3.210859537
01821,16.59230232,32936,47,1.42700994,2.832638741
01824,18.06224632,25762,107,4.153404236,5.923958778
01826,20.78437614,31389,61,1.943355918,2.934896946
01827,16.45634651,3374,0,0,0
01830,13.86827564,26225,135,5.147759914,9.734447479
01832,11.35676098,23736,84,3.53892827,7.396475315
01833,12.82433891,8733,0,0,0
01834,8.88006115,6815,1,0.146735147,0.112611838
01835,7.811269283,13822,30,2.170452833,3.840605021
01840,0.510489225,5416,57,10.5243721,111.6576004
01841,3.043464661,49437,92,1.860954404,30.22870636
01843,3.374347925,25170,114,4.529201508,33.78430557
01844,22.09881592,50517,92,1.821169138,4.163118839
01845,26.40932274,31262,39,1.247520924,1.476751208
01850,1.360893488,15950,53,3.322884083,38.94500351
01851,3.228699446,31558,113,3.580708504,34.99861145
01852,4.972808838,35033,195,5.566180229,39.21324921
01854,3.960317373,28770,67,2.328814745,16.91783524
01860,8.498768806,6926,18,2.598902702,2.117953777
01862,9.105718613,10519,43,4.087841034,4.722307205
01863,4.455220699,9477,28,2.954521418,6.284761429
01864,13.15679836,15672,0,0,0
01867,9.964801788,25236,12,0.475511164,1.204238653
01876,20.83130837,30973,71,2.292319059,3.408331394
01879,16.76138687,12511,18,1.438733935,1.073896766
01880,7.385305882,26704,48,1.797483563,6.49939251
01886,30.24110031,24566,30,1.221199989,0.992027402
01887,16.97345161,23390,21,0.897819579,1.237226248
