Zip Code,median_property_prices,median_housing_costs,owner_median_housing_costs,renter_median_housing_costs,housing_cost_perc_income,unemployment_rates,poverty_levels,park_count,grocery_store_count,num_public_transit_stops,school_count,Population,total_healthcare_services,total_services,Accessibility Index
60625,394920.0,1580.0,2146.0,1415.0,22.7,6.3,12.5,13.0,4.0,207.0,15.0,78467.0,5.0,244.0,0.0031095874698918017
60613,396573.0,1753.0,2281.0,1593.0,22.8,4.2,9.1,9.0,5.0,174.0,7.0,51334.0,6.0,201.0,0.003915533564499162
60661,409269.0,2428.0,2517.0,2396.0,20.8,2.9,5.1,2.0,4.0,34.0,0.0,11516.0,1.0,41.0,0.0035602639805488016
60631,411401.0,1710.0,1892.0,1550.0,18.2,3.8,7.0,10.0,1.0,151.0,7.0,0.0,1.0,170.0,inf
60605,479952.0,2411.0,2777.0,2330.0,24.8,5.9,9.4,7.0,3.0,104.0,1.0,34256.0,0.0,115.0,0.003357076132648295
60646,487605.0,1763.0,2092.0,1252.0,18.8,3.4,6.6,11.0,3.0,171.0,4.0,28499.0,0.0,189.0,0.006631811642513773
60607,499336.0,2441.0,2602.0,2358.0,24.5,5.6,16.1,6.0,3.0,146.0,5.0,30197.0,5.0,165.0,0.005464118952213796
60654,500328.0,2615.0,3007.0,2490.0,22.7,2.9,7.2,1.0,2.0,71.0,0.0,24303.0,1.0,75.0,0.003086038760646834
60610,503586.0,2171.0,2755.0,1959.0,24.5,3.0,12.0,7.0,7.0,126.0,7.0,45282.0,3.0,150.0,0.0033125745329269907
60618,507912.0,1797.0,2501.0,1461.0,21.4,4.6,7.8,16.0,9.0,275.0,19.0,91896.0,2.0,321.0,0.0034930791329328805
60657,532828.0,1997.0,2857.0,1781.0,22.7,3.5,7.4,11.0,6.0,151.0,6.0,71268.0,4.0,178.0,0.002497614637705562
60647,537855.0,1871.0,2667.0,1623.0,23.0,4.1,12.4,22.0,14.0,266.0,14.0,85589.0,10.0,326.0,0.0038089006764888012
60642,591524.0,2361.0,3171.0,2109.0,20.6,3.7,7.7,0.0,1.0,98.0,7.0,21124.0,0.0,106.0,0.005017989017231585
60601,608488.0,2533.0,2601.0,2513.0,25.1,1.6,5.5,0.0,4.0,54.0,0.0,16292.0,0.0,58.0,0.0035600294623127915
60622,615731.0,2208.0,3125.0,1854.0,22.2,3.2,9.2,12.0,3.0,171.0,16.0,53696.0,16.0,218.0,0.00405989272943981
60611,664065.0,2579.0,3067.0,2388.0,24.4,2.2,8.9,9.0,4.0,93.0,0.0,36036.0,3.0,109.0,0.003024753024753025
60614,727156.0,2364.0,3292.0,1949.0,21.0,3.0,8.6,20.0,10.0,186.0,8.0,70444.0,1.0,225.0,0.003194026460734768
60603,731809.0,2561.0,2915.0,2056.0,24.6,5.1,10.7,0.0,1.0,21.0,0.0,1126.0,0.0,22.0,0.019538188277087035
