Zip Code,cnt_comm_health_ctr
60623,22
60608,19
60622,16
60609,14
60629,12
60628,12
60647,12
60621,10
60624,10
60615,9
60617,9
60651,9
60625,9
60613,8
60626,8
60616,7
60653,7
60659,7
60644,7
60638,6
60640,6
60639,6
60632,6
60637,6
60612,6
60607,5
60645,4
60660,4
60620,3
60649,3
60610,3
60657,3
60619,3
60604,2
60636,2
60634,2
60618,1
60827,1
60302,1
60611,1
60661,1
60654,1
60633,1
