School Name,address,Zip Code
TELPOCHCALLI,2832 W 24TH Blvd,60623
THOMAS,3625 S HOYNE Ave,60609
THORP J,8914 S BUFFALO Ave,60617
THORP O,6024 W WARWICK Ave,60634
TILDEN HS,4747 S UNION Ave,60609
TILL,6543 S CHAMPLAIN Ave,60637
TILTON,223 N KEELER Ave,60624
TUBMAN,2851 N SEMINARY Ave,60657
TURNER-DREW,9300 S PRINCETON Ave,60620
TWAIN,5134 S LOTUS Ave,60638
U OF C - DONOGHUE,707 E 37TH St,60653
U OF C - NKO,1119 E 46TH St,60653
U OF C - WOODLAWN HS,6300 S UNIVERSITY Ave,60637
UPLIFT HS,900 W WILSON Ave,60640
URBAN PREP - BRONZEVILLE HS,521 E 35TH St,60616
URBAN PREP - ENGLEWOOD HS,6201 S STEWART Ave,60621
VANDERPOEL,9510 S PROSPECT Ave,60643
VAUGHN HS,4355 N LINDER Ave,60641
VICK,2554 W 113TH St,60655
VIRTUAL ACADEMY ES,1326 W 14TH,60608
VIRTUAL ACADEMY HS,1326 W 14TH,60608
VOLTA,4950 N AVERS Ave,60625
VON LINNE,3221 N SACRAMENTO Ave,60618
VON STEUBEN HS,5039 N KIMBALL Ave,60625
WACKER,9746 S MORGAN St,60643
WADSWORTH,6650 S ELLIS Ave,60637
WALSH,2015 S PEORIA St,60608
WARD J,2701 S SHIELDS Ave,60616
WARD L,646 N LAWNDALE Ave,60624
WARREN,9239 S JEFFERY Ave,60617
WASHINGTON G ES,3611 E 114TH St,60617
WASHINGTON H ES,9130 S UNIVERSITY Ave,60619
WASHINGTON HS,3535 E 114TH St,60617
WATERS,4540 N CAMPBELL Ave,60625
WEBSTER,4055 W ARTHINGTON St,60624
WELLS ES,249 E 37TH St,60653
WELLS HS,936 N ASHLAND Ave,60622
WENTWORTH,1340 W 71ST St,60636
WEST PARK,1425 N TRIPP Ave,60651
WEST RIDGE,6700 N WHIPPLE St,60645
WESTCOTT,409 W 80TH St,60620
WESTINGHOUSE HS,3223 W FRANKLIN Blvd,60624
WHISTLER,11533 S ADA St,60643
WHITE,1136 W 122ND St,60643
WHITNEY,2815 S KOMENSKY Ave,60623
WHITTIER,1900 W 23RD St,60608
WILDWOOD,6950 N HIAWATHA Ave,60646
WILLIAMS HS,4934 S WABASH Ave,60615
WOODLAWN,6657 S KIMBARK Ave,60637
WOODSON,4414 S EVANS Ave,60653
WORLD LANGUAGE HS,3120 S KOSTNER Ave,60623
YATES,1839 N RICHMOND St,60647
YCCS - ASPIRA PANTOJA,3121 N PULASKI Rd,60641
YCCS - ASSOCIATION HOUSE,1116 N KEDZIE Ave,60651
YCCS - AUSTIN CAREER,5352 W CHICAGO Ave,60651
YCCS - CAMPOS,2739 W DIVISION St,60622
YCCS - CCA ACADEMY,1231 S PULASKI Rd,60623
YCCS - CHATHAM,9035 S LANGLEY Ave,60619
YCCS - INNOVATIONS,17 N STATE St,60602
YCCS - LATINO YOUTH,2001 S CALIFORNIA Ave,60608
YCCS - MCKINLEY,2920 S WABASH Ave,60616
YCCS - OLIVE HARVEY,10001 S WOODLAWN Ave,60628
YCCS - PROGRESSIVE LEADERSHIP,6620 S DR MARTIN LUTHER KING JR Dr,60637
YCCS - SCHOLASTIC ACHIEVEMENT,4651 W MADISON St,60644
YCCS - SULLIVAN,8164 S SOUTH CHICAGO Ave,60617
YCCS - TRUMAN,1145 W WILSON Ave,60640
YCCS - WEST,4909 W DIVISION St,60651
YCCS - WEST TOWN,500 N SACRAMENTO Blvd,60612
YCCS - YOUTH CONNECTION,5101 S KEELER Ave,60632
YCCS - YOUTH DEVELOPMENT,7836 S UNION Ave,60620
YORK HS,2700 S CALIFORNIA Ave,60608
YOUNG ES,1434 N PARKSIDE Ave,60651
YOUNG HS,211 S LAFLIN St,60607
ZAPATA,2728 S KOSTNER Ave,60623
