School Name,address,Zip Code
CARNEGIE,1414 E 61ST Pl,60637
CARROLL,2929 W 83RD St,60652
CARSON,5516 S MAPLEWOOD Ave,60629
CARTER,5740 S MICHIGAN Ave,60637
CARVER G,901 E 133RD Pl,60827
CARVER MILITARY HS,13100 S DOTY Ave,60827
CASALS,3501 W POTOMAC Ave,60651
CASSELL,11314 S SPAULDING Ave,60655
CATALPA,5252 N LONG,60630
CATALYST - CIRCLE ROCK,5608 W WASHINGTON Blvd,60644
CATALYST - MARIA,6727 S CALIFORNIA Ave,60629
CATHER,2908 W WASHINGTON Blvd,60612
CHALMERS,2745 W ROOSEVELT Rd,60608
CHAPPELL,2135 W FOSTER Ave,60625
CHASE,2021 N POINT St,60647
CHAVEZ,4747 S MARSHFIELD Ave,60609
CHIARTS HS,2714 W AUGUSTA Blvd,60622
CHICAGO ACADEMY ES,3400 N AUSTIN Ave,60634
CHICAGO ACADEMY HS,3400 N AUSTIN Ave,60634
CHICAGO AGRICULTURE HS,3857 W 111TH St,60655
CHICAGO COLLEGIATE,11816 S INDIANA,60628
CHICAGO EXCEL HS,1257 W 111TH St,60643
CHICAGO MATH & SCIENCE HS,7212 N CLARK St,60626
CHICAGO MILITARY HS,3519 S GILES Ave,60653
CHICAGO TECH HS,1301 W 14TH St,60608
CHICAGO VOCATIONAL HS,2100 E 87TH St,60617
CHICAGO WORLD LANGUAGE ACADEMY,1340 W HARRISON St,60607
CHOPIN,2450 W RICE St,60622
CHRISTOPHER,5042 S ARTESIAN Ave,60632
CHRISTOPHER HOUSE,5235 W BELDEN Ave,60639
CICS - AVALON/SOUTH SHORE,1501 E 83RD Pl,60619
CICS - BASIL,1816 W GARFIELD Blvd,60609
CICS - BOND,13300 S LANGLEY Ave,60827
CICS - BUCKTOWN,2235 N HAMILTON Ave,60647
CICS - ELLISON HS,1817 W 80TH St,60620
CICS - IRVING PARK,3820 N SPAULDING Ave,60618
CICS - LONGWOOD,1309 W 95TH St,60643
CICS - LOOMIS,9535 S LOOMIS St,60643
CICS - NORTHTOWN HS,3900 W PETERSON Ave,60659
CICS - PRAIRIE,11530 S PRAIRIE Ave,60628
