Entity DCID,Entity properties isoCode,Entity properties name,Variable DCID,Variable observation date,Variable observation metadata importName,Variable observation metadata provenanceUrl,Variable observation metadata scalingFactor,Variable observation metadata unit,Variable observation metadata unitDisplayName,Variable observation value,Variable properties name
zip/60654,,60654,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,24303,Total Population
zip/60657,,60657,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,71268,Total Population
zip/60659,,60659,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,42008,Total Population
zip/60660,,60660,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,42750,Total Population
zip/60661,,60661,Count_Person,2023,CensusACS5YearSurvey,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,11516,Total Population
zip/60646,,60646,,,,,,,,28499,
zip/60656,,60656,,,,,,,,28726,
zip/60645,,60645,,,,,,,,46856,
zip/60634,,60634,,,,,,,,74418,
zip/60655,,60655,,,,,,,,27794,
zip/60638,,60638,,,,,,,,58250,
zip/60629,,60629,,,,,,,,109292,
zip/60620,,60620,,,,,,,,66511,
zip/60633,,60633,,,,,,,,12485,
